Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
INS.C.005.ST,0,0.0259326998070207,0.0468257779968454,0.0773934863584534,0,0.282453967626082,0,0.070481821149028,0.0126614854688618,0,0,0.0776132775106396,0.118748194101255,0.895449415778184,0.00974519551470243,0.829825538296814,0.0467701560237694,0.0186389914454218,0,2.29034210490011,0,0.0661650168525075,0.03,0.175174804416509,1.09838408333898,4.8690471288297
INS.C.006.ST,0.125535296803573,0,0.213589941108618,1.6763504850037,0,1.7728457143453,0.253799010734254,1.26515247048963,0,0.0159145017678805,0,0.805328369441365,0.881064403817798,1.63089022131258,0.913336240757311,1.84398164358483,0.0945009660175595,0,0,2.96469240323028,0.295874105929683,0,0.26,0.0488024681826944,1.07782096369139,14.7528557743444
INS.C.008.ST,0.0309425684723641,0,0.00754245402778996,0.097085959707021,0,0.242631908862641,0,0.0636909150235534,0,0.0755679226946947,0,0.0893385115129422,0.0619647306321752,0.292740586887828,0.0371222126449361,0.27703103485354,0,0.0252300872333258,0,1.10758231286045,0,0.0256162483605562,0.01,0.260359795061476,1.03295773397649,2.43408745377381
INS.C.011.ST,0,0.0189963976710804,0.0348660841178302,0,0,0.926043900065446,0,0.0239175399660614,0,0,0,0.0406287092629119,0.0347810943691962,0.154682471566767,0.102990880732731,1.9879465582256,0.0486200898029576,0.0463427547192729,0,1.0588937678486,0,0.0443420725127375,0.04,0.14825697433793,1.0475283865745,4.5230523208612
INS.C.013.ST,0.066141221757509,0.247968873536913,1.61285188744034,5.4988728595429,0,1.38242676499934,1.23188192140638,1.31863676279961,0,0.183634615492859,0,1.54850565504542,0.600570404074933,2.3440462234489,1.56314560361654,5.17842586771271,0,0.0599736891946591,0,1.97449634784684,0,0.0359829816249517,0.0600000000000001,0.135406584773713,1.03378184702036,24.8475616795408
INS.C.017.ST,0.642204326534504,0.712931744326235,0.0375096057544269,1.68373229128671,0,2.01804231748327,0.547222275446387,1.88556678903093,0.0246477396691765,1.35642627878178,0,0,0,0.19419927243285,0.478011073304896,0.561832708221263,0.856590272316162,0,0,0.347200284156587,0,0,0.02,0.233779137876899,1.00569992623564,11.3461169787452
INS.C.018.ST,0,0,0.0111813793320054,0.0381922184677679,0,0.919164128345356,0.0834688295322386,0.112538790838476,0,0.240312013223055,0,0.102518151657475,0,0.0895166484281248,0.136003000704384,0.312769922669149,0,0.114690667549235,0,0.699646961037347,0.0147911308732891,0,0.26,0.049372558034499,1.09391826068672,2.8747938426579
INS.C.020.ST,0.0198900004517914,0.0815238153864371,0.0553002121494392,0.962332769924476,0,1.15453324244143,0,0.243115944737444,0.0719649688875066,0,0,0.351584097247464,0.162168248602587,0,0.0853064701973781,0.332430326542711,0,0.0351972829206403,0,1.14894565048807,0.102981530099921,0,0.08,0.100168590615594,1.08218800542616,4.80727456007729
INS.C.023.ST,0.0306315667037465,0,0.120905074972211,0.265567848228876,0,0.221256249724585,0,0.173838966268733,0,0.0270956082919215,0,0.381373059160751,0.0348998814590159,0,0.132721127413456,0.459910207114639,0,0.213206408229605,0,0.628290425807994,0,0.105998949732603,0.13,0.0748995805044977,1.08163761096714,2.79569537310814
INS.D.002.ST,0,0.00742756339424752,0.0988567055158969,0.108818542790628,0,0.532168728259553,0,0.0305047213027618,0,0,0,0.219045955635397,0.0661056986321568,0.0524987540796515,0,0.365801535791232,0,0.0594399028244705,0,0.930083838967529,0.000356621395970881,0.0275457685615524,0.52,0.0101094305152072,1.14179277923239,2.49865433715105
INS.D.003.ST,0,0.0100145533605887,0.008151908738138,0,0,0.298300977695491,0,0.0297447006418436,0,0.0325799367070987,0.0256539542197865,0,0,1.6409279651906,0.0440513892035914,1.74048464807415,0,0.00419631291357647,0,2.60811656954788,0,0.0834979488533908,0,0.552858675483482,0.838907520227997,6.52572086514614
INS.D.004.ST,0,0.031564027362189,0.0380178364925611,1.22702337176357,0,0,0.124003668192533,0.486145301528174,0,0,0,0.505940900738382,0.185206916106204,0.305522005441508,0.318189065286768,1.45174947529037,0,0,0,0.487543004298817,0,0.022130249533975,0.01,0.290184906677374,0.971221081821609,5.18303582203506
INS.D.005.ST,0.188503818818952,0,0.040274514236133,1.47135100339213,0,0.327919065793712,0,0.601657290749796,0.0986729958081377,0,0,0.613109471918505,0.334761961196295,0.27334462260257,0.363217068513771,1.49402465166409,0,0,0,1.01104813821713,0,0,0.03,0.1777854617108,1.02393147481961,6.81788460291122
INS.D.006.ST,0.13422237883,0,0.0772345444479633,0.245139033452858,0,0.101562969834875,0,0.207114996865849,0,0.00690038892085965,0,0.0527046303151245,0.0307217991318394,0.263731065624043,0.126990061390278,1.11909287861591,0.0245411173493881,0,0,0.919108509702837,0,0,0.04,0.15471938636188,1.04665155417976,3.30906437448183
INS.D.007.ST,0.134290526640871,0,0.0844556500821639,0.781354030861185,0,0.37701450796752,0.0153449852560624,0.335957865928255,0.00911525989052575,0,0,0.301070232697603,0.0656541165122935,0.0723539642880837,0.1359399658183,0.527735965379132,0,0,0,0.410356384911197,0.00770103140389401,0,0.04,0.153969480963297,1.04023589534252,3.25834448763709
INS.D.008.ST,0.00322155378872723,0.0105812379279853,0.0630029463288104,0.437545505619474,0,0.413984195554416,0,0.182888750458546,0,0,0,0.407272145487087,0.0725820243318702,0,0.155725878921499,0.628487884884689,0.0118623387869914,0,0,1.23072587343483,0,0.0386641439653797,0.12,0.0836053281435288,1.1035107666292,3.65654447949031
INS.D.009.ST,0.545271272456676,0,0.0843129509859293,1.43011980044043,0,1.57561454135115,0,0.628832080453259,0,0,0,0.421267074921248,0.122617100981641,1.61367245971304,0.195447355525943,3.71748947895307,0,0.199390435439077,0,1.3651815203108,0,0.143384218246094,0.1,0.0897379292880506,1.05576649194084,12.0426002897784
INS.D.012.ST,3.84227843459652,0.00662187695422972,1.47950742065841,11.8174289061141,0,2.213326611105,6.56637308553836,2.7105765883902,0.187496283261348,0,0,4.47732140019725,0.371825014009243,1.96484961464125,3.60666472309466,2.00451571335,0,0,0,1.72344841442469,0,0,0.04,0.157294796921858,1.04517329562989,42.9722340863352
INS.D.013.ST,0.77849435888639,0.296989278278407,0,0.313935605631079,0.356757068270279,0.42162334651636,0.107194574719977,0.0870604740992893,0.00542016874274929,0,0.0046592485466774,0.0208172048741929,0.218509317285096,0,0.0586101278115516,0.937589034203798,0,0.0640017632797383,0,0.851600862150319,0.0140268619540312,0.0628493348820122,0.01,0.293016989293601,0.967009733760841,4.60013863013195
